Pitch,
12.868,405.13
12.878,403.56
12.888,401.26
12.898,398.18
12.908,394.66
12.918,390.56
12.928,387.17
12.938,384.48
12.948,382.77
12.958,382.20
12.968,382.73
12.978,384.59
12.988,388.12
12.998,392.64
13.008,397.05
13.018,400.99
13.028,404.09
13.038,406.19
13.048,407.06
13.058,406.72
13.068,405.08
13.078,402.55
13.088,398.94
13.098,394.79
13.108,390.74
13.118,387.36
13.128,384.38
13.138,382.44
13.148,381.61
13.158,382.22
13.168,384.32
13.178,388.09
13.188,392.77
13.198,396.92
13.208,400.21
13.218,402.59
13.228,403.73
13.238,403.65
13.248,402.47
13.258,400.12
13.268,396.93
13.278,393.29
13.288,388.60
13.298,383.29
13.308,378.60
13.318,375.45
13.328,372.48
13.338,370.33
13.348,369.20
13.358,368.96
13.368,369.36
13.378,369.71
13.388,369.87
13.398,369.68
13.408,368.64
13.418,367.24
13.428,365.49
13.438,363.72
13.448,362.14
13.458,360.56
13.468,358.26
13.478,355.21
13.488,351.74
13.498,347.43
13.508,344.08
13.518,340.61
13.528,337.34
13.538,334.91
13.548,334.19
13.558,334.99
13.568,337.30
13.578,340.41
13.588,343.50
13.598,347.25
13.608,350.31
13.618,353.11
13.628,354.01
13.638,353.84
13.648,352.68
13.658,350.71
13.668,348.73
13.678,345.99
13.688,343.32
13.698,340.25
13.708,336.73
13.718,332.47
13.728,329.28
13.738,327.50
13.748,327.11
13.758,328.07
13.768,329.97
13.778,333.94
13.788,338.26
13.798,343.37
13.808,352.73
13.818,360.66
13.828,365.25
13.838,367.97
13.848,368.88
13.858,367.78
13.868,365.07
13.878,361.09
13.888,356.19
13.898,350.92
13.908,345.69
13.918,341.10
13.928,337.70
13.938,335.73
13.948,334.62
13.958,334.56
13.968,335.41
13.978,337.25
13.988,340.30
13.998,344.88
14.008,351.44
14.018,359.59
14.028,366.89
14.038,371.78
14.048,375.29
14.058,377.23
14.068,377.76
14.078,376.12
14.088,373.02
14.098,369.40
14.108,364.26
14.118,358.31
14.128,350.66
14.138,345.40
14.148,341.82
14.158,339.77
14.168,338.65
14.178,339.00
14.188,340.49
14.198,343.55
14.208,348.39
14.218,359.74
14.228,367.64
14.238,371.44
14.248,374.32
14.258,376.14
14.268,376.05
14.278,374.85
14.288,372.15
14.298,368.53
14.308,364.10
14.318,358.77
14.328,353.49
14.338,349.83
14.348,347.78
14.358,346.51
14.368,346.26
14.378,347.23
14.388,349.35
14.398,352.77
14.408,356.42
14.418,359.89
14.428,362.10
14.438,363.27
14.448,363.00
14.458,361.74
14.468,359.06
14.478,356.20
14.488,351.81
14.498,347.44
14.508,341.58
14.518,337.58
14.528,334.63
14.538,332.66
14.548,331.30
14.558,330.96
14.568,330.98
14.578,331.16
14.588,331.41
14.598,331.51
14.608,331.43
14.618,331.03
14.628,330.44
14.638,329.57
14.648,328.75
14.658,328.57
14.668,329.57
14.678,332.12
14.688,335.82
14.698,340.47
14.708,344.89
14.718,348.74
14.728,351.51
14.738,352.54
14.748,351.59
14.758,348.93
14.768,345.68
14.778,341.35
14.788,337.23
14.798,332.63
14.808,328.84
14.818,325.10
14.828,323.53
14.838,323.12
14.848,323.91
14.858,327.25
14.868,331.44
14.878,336.24
14.888,341.06
14.898,345.41
14.908,346.66
14.918,345.31
14.928,342.47
14.938,339.95
14.948,337.49
14.958,334.81
14.968,332.03
14.978,329.32
14.988,326.53
14.998,324.88
15.008,324.14
15.018,324.07
15.028,324.56
15.038,326.05
15.048,328.40
15.058,332.21
15.068,338.02
15.078,343.08
15.088,347.83
15.098,354.25
15.108,357.70
15.118,357.73
15.128,355.39
15.138,351.01
15.148,346.34
15.158,341.87
15.168,338.70
15.178,335.45
15.188,332.71
15.198,331.20
15.208,331.78
15.218,334.32
15.228,339.69
15.238,346.43
15.248,351.22
15.258,354.10
15.268,354.73
15.278,354.69
15.288,354.72
15.298,354.29
15.308,354.11
15.318,353.96
15.328,349.02
15.338,342.27
15.348,313.35
15.358,293.35
15.368,348.19
15.378,326.51
15.388,
15.398,692.58
15.408,670.40
15.418,
15.428,696.73
15.438,696.92
15.448,
15.458,285.54
15.468,276.60
15.478,
15.488,301.13
15.498,301.41
15.508,301.44
15.518,301.08
15.528,300.20
15.538,298.98
15.548,297.30
15.558,295.65
15.568,294.30
15.578,293.58
15.588,293.08
15.598,293.19
15.608,293.82
15.618,294.32
15.628,294.75
15.638,294.86
15.648,294.76
15.658,294.78
15.668,294.79
15.678,294.77
15.688,294.66
15.698,294.42
15.708,294.41
15.718,294.37
15.728,294.40
15.738,294.44
15.748,294.37
15.758,294.17
15.768,293.55
15.778,292.75
15.788,291.25
15.798,288.75
15.808,285.71
15.818,283.24
15.828,281.17
15.838,279.95
15.848,279.04
15.858,279.01
15.868,280.33
15.878,282.41
15.888,284.73
15.898,286.99
15.908,289.16
15.918,291.56
15.928,293.90
15.938,295.62
15.948,297.06
15.958,298.49
15.968,299.70
15.978,300.18
15.988,300.03
15.998,299.03
16.008,297.40
16.018,296.19
16.028,295.97
16.038,296.55
16.048,298.02
16.058,300.63
16.068,304.84
16.078,311.19
16.088,314.68
16.098,316.32
16.108,317.45
16.118,317.31
16.128,315.80
16.138,313.45
16.148,310.47
16.158,307.10
16.168,303.51
16.178,299.24
16.188,295.61
16.198,293.40
16.208,292.77
16.218,293.38
16.228,295.05
16.238,297.55
16.248,301.23
16.258,305.97
16.268,310.80
16.278,314.36
16.288,317.09
16.298,318.81
16.308,318.74
16.318,317.14
16.328,314.35
16.338,310.81
16.348,306.88
16.358,302.14
16.368,298.42
16.378,296.23
16.388,295.41
16.398,295.86
16.408,297.32
16.418,299.86
16.428,303.71
16.438,308.41
16.448,312.86
16.458,316.38
16.468,318.26
16.478,318.58
16.488,317.45
16.498,314.97
16.508,311.95
16.518,307.66
16.528,302.60
16.538,297.40
16.548,293.35
16.558,289.70
16.568,287.80
16.578,287.29
16.588,287.82
16.598,288.41
16.608,288.56
16.618,288.40
16.628,287.70
16.638,286.79
16.648,285.79
16.658,284.42
16.668,282.51
16.678,280.51
16.688,277.76
16.698,272.14
16.708,263.78
16.718,255.72
16.728,253.51
16.738,252.73
16.748,252.43
16.758,253.47
16.768,255.18
16.778,257.04
16.788,259.48
16.798,261.26
16.808,263.13
16.818,264.53
16.828,265.60
16.838,266.33
16.848,266.78
16.858,267.01
16.868,267.13
16.878,266.82
16.888,266.44
16.898,266.25
16.908,266.22
16.918,266.52
16.928,267.19
16.938,268.02
16.948,269.22
16.958,270.08
16.968,270.73
16.978,270.75
16.988,270.60
16.998,270.29
17.008,269.88
17.018,269.66
17.028,269.43
17.038,268.76
17.048,267.94
17.058,266.66
17.068,265.44
17.078,264.45
17.088,263.59
17.098,263.51
17.108,263.44
17.118,263.22
17.128,263.08
17.138,262.94
17.148,263.31
17.158,263.82
17.168,264.84
17.178,266.22
17.188,267.46
17.198,268.47
17.208,269.24
17.218,269.76
17.228,270.00
17.238,269.66
17.248,268.72
17.258,267.49
17.268,265.72
17.278,264.05
17.288,262.03
17.298,259.78
17.308,257.82
17.318,255.94
17.328,255.31
17.338,255.66
17.348,256.90
17.358,258.69
17.368,261.08
17.378,262.91
17.388,265.69
17.398,268.15
17.408,270.76
17.418,272.78
17.428,273.96
17.438,274.10
17.448,272.98
17.458,270.84
